"tct";"ui";"lib_tct";"lib_ui";"annee";"activite";"categorie";"autorite_organisatrice";"nom_commercial_service_regional"
"TBV";"1287";"Train Transilien à charge, ligne Paris-Nord - Crépy-en-Valois";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBA";"1287";"Train Transilien à charge, ligne A du RER";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBB";"1287";"Train Transilien à charge, ligne B du RER";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBC";"1287";"Train Transilien à charge, ligne C du RER";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBD";"1287";"Train Transilien à charge, ligne D du RER";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBE";"1287";"Train Transilien à charge, ligne E du RER";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBN";"1287";"Train Transilien à charge, ligne Ouest-Paris-Nord";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBT";"1287";"Train Transilien à charge, ligne Paris-Est";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBM";"1287";"Train Transilien à charge, ligne Paris-Montparnasse";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBL";"1287";"Train Transilien à charge, ligne Paris-Gare de Lyon";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBR";"1287";"Train Transilien à charge, ligne PSL (groupes 2, 3)";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBS";"1287";"Train Transilien à charge, ligne PSL (groupes 4, 5, 6)";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBQ";"1287";"Train Transilien à charge,ligne Saint-Quentin à La Défense";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TWT";"1287";"Tram-train Transilien à charge, ligne Paris-Est";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TWN";"1287";"Tram-train Transilien à charge, Tram Express Nord";"SNCF-Transilien";2018;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"LVC";"1187";"TAGV International ALLEO, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVR";"1187";"TAGV International France Italie, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVJ";"1187";"TAGV International GALA France Espagne, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVH";"1187";"TAGV International LYRIA, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LBL";"1187";"Voyageurs internationaux - Trains non TGV (hors spéciaux), à charge";"SNCF-Voyages";2018;"TGL";"Service librement organisé";;
"LCS";"1187";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V< 160 km/h, à charge";"SNCF-Voyages";2018;"TGL";"Service librement organisé";;
"LBS";"1187";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V>= 160 km/h, à charge";"SNCF-Voyages";2018;"TGL";"Service librement organisé";;
"LVS";"1187";"TAGV spéciaux nationaux (pèlerins et autres), à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVA";"1187";"TGV - Atlantique, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVK";"1187";"Train apte à la grande vitesse à charge, axe Bretagne";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVE";"1187";"TGV - Est, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVN";"1187";"TGV - Nord, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVM";"1187";"TGV OUIGO Atlantique, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVT";"1187";"TGV OUIGO Est, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVO";"1187";"TGV OUIGO Nord, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVU";"1187";"TGV OUIGO Sud-Est, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVG";"1187";"TAGV spéciaux internationaux (pèlerins et autres), à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LVD";"1187";"TGV - Sud-Est, à charge";"SNCF-Voyages";2018;"TAGV";"Service librement organisé";;
"LBG";"1187";"Voyageurs internationaux - Trains spéciaux (pèlerins et autres) à charge";"SNCF-Voyages";2018;"TGL";"Service librement organisé";;
"LVW";"9132";"TAGV (Train A Grande Vitesse - à charge)";"Thalys";2018;"TAGV";"Service librement organisé";;
"LVW";"9124";"TAGV (Train A Grande Vitesse - à charge)";"Thello";2018;"TAGV";"Service librement organisé";;
"LBL";"9124";"Voyageurs internationaux - Trains non TGV (hors spéciaux), à charge";"Thello";2018;"TGL";"Service librement organisé";;
"LAC";"9124";"Voyageurs - Trains non apte GV accord cadre";"Thello";2018;"TGL";"Service librement organisé";;
"LBL";"9124";"Voyageurs internationaux - Trains non TGV (hors spéciaux), à charge";"Thello";2017;"TGL";"Service librement organisé";;
"LAC";"9124";"Voyageurs - Trains non apte GV accord cadre";"Thello";2017;"TGL";"Service librement organisé";;
"LVW";"9124";"TAGV (Train A Grande Vitesse - à charge)";"Thello";2017;"TAGV";"Service librement organisé";;
"LVW";"9132";"TAGV (Train A Grande Vitesse - à charge)";"Thalys";2017;"TAGV";"Service librement organisé";;
"LBB";"1987";"INTERCITES RESA - Sud-Est, V>= 160 km/h à charge";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"LBC";"1987";"INTERCITES RESA - Nuit, V>= 160 km/h, à charge";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"LBG";"1187";"Voyageurs internationaux - Trains spéciaux (pèlerins et autres) à charge";"SNCF-Voyages";2017;"TGL";"Service librement organisé";;
"LBL";"1187";"Voyageurs internationaux - Trains non TGV (hors spéciaux), à charge";"SNCF-Voyages";2017;"TGL";"Service librement organisé";;
"LBS";"1187";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V>= 160 km/h, à charge";"SNCF-Voyages";2017;"TGL";"Service librement organisé";;
"LCB";"1987";"INTERCITES RESA - Sud-Est, V< 160 km/h à charge";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"LCC";"1987";"INTERCITES RESA - Nuit, V < 160 km/h à charge";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"LCS";"1187";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V< 160 km/h, à charge";"SNCF-Voyages";2017;"TGL";"Service librement organisé";;
"LVA";"1187";"TGV - Atlantique, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVC";"1187";"TAGV International ALLEO, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVD";"1187";"TGV - Sud-Est, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVE";"1187";"TGV - Est, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVG";"1187";"TAGV spéciaux internationaux (pèlerins et autres), à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVH";"1187";"TAGV International LYRIA, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVJ";"1187";"TAGV International GALA France Espagne, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVK";"1187";"Train apte à la grande vitesse à charge, axe Bretagne";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVM";"1187";"TGV OUIGO Atlantique, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVN";"1187";"TGV - Nord, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVO";"1187";"TGV OUIGO Nord, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVR";"1187";"TAGV International France Italie, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVS";"1187";"TAGV spéciaux nationaux (pèlerins et autres), à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVT";"1187";"TGV OUIGO Est, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"LVU";"1187";"TGV OUIGO Sud-Est, à charge";"SNCF-Voyages";2017;"TAGV";"Service librement organisé";;
"NBA";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Méditerranée Atlantique";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NBD";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, autres dessertes";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NBE";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, axes de l'Est";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NBM";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Massif central";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NBN";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Normandie";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NBP";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Nord Est";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NBS";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Centre-sud";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NCA";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Méditerranée Atlantique";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NCD";"1987";"INTERCITES - Train à charge, VL< 160 km/h, autres dessertes";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NCE";"1987";"INTERCITES - Train à charge, VL< 160 km/h, axes de l'Est";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NCM";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Massif central";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NCN";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Normandie";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NCP";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Nord-Est";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"NCS";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Centre-Sud";"SNCF-Intercités";2017;"TET";"Service conventionné";"Etat";"Intercités"
"PTT";"1087";"Train touristique";"SNCF";2017;"TGL";"Service librement organisé";;
"RBA";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Picardie";"SNCF-TER";2017;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RBB";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Aquitaine";"SNCF-TER";2017;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RBC";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Franche-Comté";"SNCF-TER";2017;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RBD";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Bourgogne";"SNCF-TER";2017;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RBE";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Limousin";"SNCF-TER";2017;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RBF";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Auvergne";"SNCF-TER";2017;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RBG";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Pays de la Loire";"SNCF-TER";2017;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
"RBH";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Champagne-Ardenne";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBI";"1387";"Train régional à charge VL>=160 km/h, parcours hors RFN ou non facturable";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBJ";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Bretagne";"SNCF-TER";2017;"TER";"Service conventionné";"Bretagne";"TER BreizhGo"
"RBK";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Rhône-Alpes";"SNCF-TER";2017;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RBL";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Nord-Pas-de-Calais";"SNCF-TER";2017;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RBM";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Provence-Alpes-Côte d'Azur";"SNCF-TER";2017;"TER";"Service conventionné";"Provence-Alpes-Côte d'Azur";"Train Zou"
"RBN";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Lorraine";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBP";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Languedoc-Roussillon";"SNCF-TER";2017;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RBR";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Basse-Normandie";"SNCF-TER";2017;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RBS";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Alsace";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBT";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Midi-Pyrénées";"SNCF-TER";2017;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RBU";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Centre";"SNCF-TER";2017;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
"RBV";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Haute-Normandie";"SNCF-TER";2017;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RBY";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Poitou-Charentes";"SNCF-TER";2017;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RCA";"1387";"Train TER à charge, VL<160 km/h, Picardie";"SNCF-TER";2017;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCB";"1387";"Train TER à charge, VL<160 km/h, Aquitaine";"SNCF-TER";2017;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RCC";"1387";"Train TER à charge, VL<160 km/h, Franche-Comté";"SNCF-TER";2017;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RCD";"1387";"Train TER à charge, VL<160 km/h, Bourgogne";"SNCF-TER";2017;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RCE";"1387";"Train TER à charge, VL<160 km/h, Limousin";"SNCF-TER";2017;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RCF";"1387";"Train TER à charge, VL<160 km/h, Auvergne";"SNCF-TER";2017;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RCG";"1387";"Train TER à charge, VL<160 km/h, Pays de la Loire";"SNCF-TER";2017;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
"RCH";"1387";"Train TER à charge, VL<160 km/h, Champagne-Ardenne";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCI";"1387";"Train régional à charge VL<160 km/h, parcours hors RFN ou non facturable";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCJ";"1387";"Train TER à charge, VL<160 km/h, Bretagne";"SNCF-TER";2017;"TER";"Service conventionné";"Bretagne";"TER BreizhGo"
"RCK";"1387";"Train TER à charge, VL<160 km/h, Rhône-Alpes";"SNCF-TER";2017;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RCL";"1387";"Train TER à charge, VL<160 km/h, Nord-Pas-de-Calais";"SNCF-TER";2017;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCM";"1387";"Train TER à charge, VL<160 km/h, Provence-Alpes-Côte d'Azur";"SNCF-TER";2017;"TER";"Service conventionné";"Provence-Alpes-Côte d'Azur";"Train Zou"
"RCN";"1387";"Train TER à charge, VL<160 km/h, Lorraine";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCP";"1387";"Train TER à charge, VL<160 km/h, Languedoc-Roussillon";"SNCF-TER";2017;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RCR";"1387";"Train TER à charge, VL<160 km/h, Basse Normandie";"SNCF-TER";2017;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RCS";"1387";"Train TER à charge, VL<160 km/h, Alsace";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCT";"1387";"Train TER à charge, VL<160 km/h, Midi-Pyrénées";"SNCF-TER";2017;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RCU";"1387";"Train TER à charge, VL<160 km/h, Centre";"SNCF-TER";2017;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
"RCV";"1387";"Train TER à charge, VL<160 km/h, Haute-Normandie";"SNCF-TER";2017;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RCY";"1387";"Train TER à charge, VL<160 km/h, Poitou-Charentes";"SNCF-TER";2017;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RVL";"1387";"Train TER à charge, TGV, Nord-Pas-de-Calais";"SNCF-TER";2017;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RWG";"1387";"Tram-train TER à charge, Pays de la Loire";"SNCF-TER";2017;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
"RWK";"1387";"Tram-train TER à charge, Rhône-Alpes";"SNCF-TER";2017;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RWN";"1387";"Tram-train TER à charge, Lorraine";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RWS";"1387";"Tram-train TER à charge, Alsace";"SNCF-TER";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"TBA";"1287";"Train Transilien à charge, ligne A du RER";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBB";"1287";"Train Transilien à charge, ligne B du RER";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBC";"1287";"Train Transilien à charge, ligne C du RER";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBD";"1287";"Train Transilien à charge, ligne D du RER";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBE";"1287";"Train Transilien à charge, ligne E du RER";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBL";"1287";"Train Transilien à charge, ligne Paris-Gare de Lyon";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBM";"1287";"Train Transilien à charge, ligne Paris-Montparnasse";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBN";"1287";"Train Transilien à charge, ligne Ouest-Paris-Nord";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBQ";"1287";"Train Transilien à charge,ligne Saint-Quentin à La Défense";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBR";"1287";"Train Transilien à charge, ligne PSL (groupes 2, 3)";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBS";"1287";"Train Transilien à charge, ligne PSL (groupes 4, 5, 6)";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBT";"1287";"Train Transilien à charge, ligne Paris-Est";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBV";"1287";"Train Transilien à charge, ligne Paris-Nord - Crépy-en-Valois";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TWN";"1287";"Tram-train Transilien à charge, Tram Express Nord";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TWT";"1287";"Tram-train Transilien à charge, ligne Paris-Est";"SNCF-Transilien";2017;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"ZW1";"5000";"Tramway";"Mulhouse Alsace Agglomération - SNCF";2017;"TER";"Service conventionné";"Grand Est";"TER Fluo"
